beta,gamma,kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,prdgm,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,prdgmdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,prdgmalpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,prdgmtheta,meanAtheta,meanFitheta
11.5723,-0.3103,0.64558,0.084093,-0.61556,0.03133,1.2455,2494.0973,60.8402,TA,-0.15988,4.5212,1817.0932,9.0181,7.0957,-0.0061346,1.9394,151.0545,2.4406,8.0276,8.3791e-05,1.2441,52.7856,1.5104,8.4754
7.0162,-0.31494,0.20093,0.051268,-0.82766,0.024136,1.0584,2783.4228,67.9031,TA,-0.22502,3.7697,2036.5556,12.3898,6.5362,-0.003474,1.8658,122.4333,2.291,7.6032,-0.00057268,1.1075,41.6116,1.3195,7.5035
3.6025,-1.3218,1.2303,0.036277,-2.9016,0.018814,0.4141,21548.0296,525.0551,TA,-0.32454,11.523,11505.5964,23.5803,17.2953,0.017802,3.5032,345.3196,4.4565,14.2285,0.0074626,2.5782,159.6189,3.024,17.5521
3.6025,-1.3218,1.2303,0.036277,-2.9016,0.018814,0.4141,21548.0296,525.0551,TA,-0.32454,11.523,11505.5964,23.5803,17.2953,0.017802,3.5032,345.3196,4.4565,14.2285,0.0074626,2.5782,159.6189,3.024,17.5521
3.998,1.0239,5.2038,0.045542,-0.90378,0.023091,0.37971,28025.9247,683.6762,TA,0.61574,14.7788,13790.8518,27.5427,18.2348,-0.0077543,3.8342,493.3134,4.8415,15.6295,-0.00082509,2.6221,183.7121,3.1121,18.1274
7.7734,-2.0645,1.099,0.045057,-2.6507,0.02093,0.11643,21138.189,513.4533,TA,0.31547,11.034,10775.1841,19.9093,15.3703,0.011229,3.4687,546.4921,4.4203,14.4103,0.0049749,2.8936,331.8961,3.4243,20.2129
3.1758,-0.38225,2.8145,0.041551,-1.2524,0.025062,0.23826,34058.757,831.5586,HVS,0.23151,17.1952,23470.2278,34.4646,23.8007,0.0088983,6.3334,1175.2559,7.7404,24.8639,0.0064194,3.1247,256.6753,3.7161,21.0867
3.1758,-0.38225,2.8145,0.041551,-1.2524,0.025062,0.23826,34058.757,831.5586,HVS,0.23151,17.1952,23470.2278,34.4646,23.8007,0.0088983,6.3334,1175.2559,7.7404,24.8639,0.0064194,3.1247,256.6753,3.7161,21.0867
3.0161,-0.92091,2.4367,0.035781,0.071747,0.018653,-0.099103,32499.7257,793.045,TA,0.48693,14.6698,16745.5598,38.3116,21.2718,0.0039553,6.2459,1572.6679,7.8598,25.7298,-0.0023502,2.9713,219.6058,3.5626,19.5244
3.0161,-0.92091,2.4367,0.035781,0.071747,0.018653,-0.099103,32499.7257,793.045,TA,0.48693,14.6698,16745.5598,38.3116,21.2718,0.0039553,6.2459,1572.6679,7.8598,25.7298,-0.0023502,2.9713,219.6058,3.5626,19.5244
4.0278,0.20793,2.5892,0.039401,-1.1064,0.021885,-0.0077625,29075.2762,709.9365,TA,0.06095,11.2776,18840.3514,27.3461,18.66,0.0072312,5.0751,912.9516,6.3035,21.1138,0.0018525,2.7406,259.7904,3.3137,18.6864
3.8243,1.5023,5.8183,0.056165,0.62342,0.021354,0.28178,28229.8606,687.8898,HVS,-0.36839,12.7782,14042.3297,24.4072,22.3087,0.025229,9.1659,2551.487,11.0771,35.8476,0.0062263,4.0877,459.4019,4.8619,27.3173
3.4624,-0.41112,6.6528,0.048936,-2.5887,0.026128,0.17562,43640.7592,1065.5187,HVS,-0.56799,20.9192,27709.7696,42.5261,27.9303,0.02875,8.4472,2629.4419,10.5465,34.9608,0.010731,4.3849,567.9998,5.2247,29.5659
